
Episode 1920, Pursuer Reward: -829.27, Evader Reward: 829.27, Capture Rate (last20): 0.15, Final Dist: 2541.88
Episode 1940, Pursuer Reward: -1314.11, Evader Reward: 1314.11, Capture Rate (last20): 0.10, Final Dist: 2682.82
Episode 1960, Pursuer Reward: -1412.93, Evader Reward: 1412.93, Capture Rate (last20): 0.05, Final Dist: 2961.80
Episode 1980, Pursuer Reward: -893.30, Evader Reward: 893.30, Capture Rate (last20): 0.05, Final Dist: 1859.95
Episode 2000, Pursuer Reward: -563.07, Evader Reward: 570.28, Capture Rate (last20): 0.05, Final Dist: 1795.24
Episode 2020, Pursuer Reward: -735.53, Evader Reward: 742.15, Capture Rate (last20): 0.00, Final Dist: 2287.47
Episode 2040, Pursuer Reward: -679.91, Evader Reward: 685.39, Capture Rate (last20): 0.20, Final Dist: 2637.77
Episode 2060, Pursuer Reward: -981.78, Evader Reward: 983.31, Capture Rate (last20): 0.05, Final Dist: 2176.44
Episode 2080, Pursuer Reward: -880.83, Evader Reward: 887.57, Capture Rate (last20): 0.00, Final Dist: 3860.79
Episode 2100, Pursuer Reward: -821.43, Evader Reward: 829.45, Capture Rate (last20): 0.00, Final Dist: 1764.18
Episode 2120, Pursuer Reward: -905.37, Evader Reward: 917.20, Capture Rate (last20): 0.20, Final Dist: 867.37
Episode 2140, Pursuer Reward: -728.52, Evader Reward: 736.89, Capture Rate (last20): 0.00, Final Dist: 805.45
Episode 2160, Pursuer Reward: 1446.53, Evader Reward: -1389.51, Capture Rate (last20): 0.05, Final Dist: 95.07
Episode 2180, Pursuer Reward: -852.24, Evader Reward: 867.46, Capture Rate (last20): 0.05, Final Dist: 1065.20
Episode 2200, Pursuer Reward: -853.20, Evader Reward: 853.37, Capture Rate (last20): 0.00, Final Dist: 885.51
Episode 2220, Pursuer Reward: -740.02, Evader Reward: 755.51, Capture Rate (last20): 0.15, Final Dist: 1296.21
Episode 2240, Pursuer Reward: -961.05, Evader Reward: 973.37, Capture Rate (last20): 0.05, Final Dist: 1248.43
Episode 2260, Pursuer Reward: -865.68, Evader Reward: 865.68, Capture Rate (last20): 0.05, Final Dist: 1592.48
Episode 2280, Pursuer Reward: -1337.44, Evader Reward: 1350.74, Capture Rate (last20): 0.05, Final Dist: 525.82
Episode 2300, Pursuer Reward: -715.70, Evader Reward: 721.32, Capture Rate (last20): 0.15, Final Dist: 1514.99
Episode 2320, Pursuer Reward: -928.01, Evader Reward: 931.63, Capture Rate (last20): 0.25, Final Dist: 1262.20
Episode 2340, Pursuer Reward: -887.88, Evader Reward: 898.81, Capture Rate (last20): 0.15, Final Dist: 889.76
Episode 2360, Pursuer Reward: -917.11, Evader Reward: 933.11, Capture Rate (last20): 0.10, Final Dist: 901.95
Episode 2380, Pursuer Reward: -1368.88, Evader Reward: 1386.96, Capture Rate (last20): 0.20, Final Dist: 1037.40
Episode 2400, Pursuer Reward: 1576.30, Evader Reward: -1498.87, Capture Rate (last20): 0.30, Final Dist: 97.99
Episode 2420, Pursuer Reward: -549.89, Evader Reward: 562.72, Capture Rate (last20): 0.10, Final Dist: 657.90
Episode 2440, Pursuer Reward: 1227.59, Evader Reward: -1146.50, Capture Rate (last20): 0.25, Final Dist: 95.99
Episode 2460, Pursuer Reward: -804.48, Evader Reward: 821.83, Capture Rate (last20): 0.15, Final Dist: 1414.91
Episode 2480, Pursuer Reward: -925.93, Evader Reward: 932.44, Capture Rate (last20): 0.20, Final Dist: 1398.25
Episode 2500, Pursuer Reward: -618.64, Evader Reward: 618.64, Capture Rate (last20): 0.25, Final Dist: 1365.75
Episode 2520, Pursuer Reward: 1299.41, Evader Reward: -1263.16, Capture Rate (last20): 0.45, Final Dist: 98.72
Episode 2540, Pursuer Reward: 1403.42, Evader Reward: -1329.83, Capture Rate (last20): 0.35, Final Dist: 99.77
Episode 2560, Pursuer Reward: -1116.67, Evader Reward: 1128.15, Capture Rate (last20): 0.25, Final Dist: 820.11
Episode 2580, Pursuer Reward: -1069.52, Evader Reward: 1078.42, Capture Rate (last20): 0.40, Final Dist: 600.94
Episode 2600, Pursuer Reward: -702.75, Evader Reward: 702.75, Capture Rate (last20): 0.60, Final Dist: 282.02
Episode 2620, Pursuer Reward: -845.94, Evader Reward: 848.64, Capture Rate (last20): 0.60, Final Dist: 755.86
Episode 2640, Pursuer Reward: -726.93, Evader Reward: 726.93, Capture Rate (last20): 0.45, Final Dist: 134.36
Episode 2660, Pursuer Reward: 1348.13, Evader Reward: -1261.05, Capture Rate (last20): 0.45, Final Dist: 99.05
Episode 2680, Pursuer Reward: 1446.19, Evader Reward: -1416.74, Capture Rate (last20): 0.50, Final Dist: 99.82
Episode 2700, Pursuer Reward: 1078.69, Evader Reward: -1052.79, Capture Rate (last20): 0.70, Final Dist: 99.36
Episode 2720, Pursuer Reward: 1284.10, Evader Reward: -1240.12, Capture Rate (last20): 0.60, Final Dist: 97.60
