Using device: cuda
开始训练...
Episode 640, 追击星奖励: -1243.59, 逃逸星奖励: 1243.59, 平均捕获率 (last20): 0.15, 终端距离: 3079.57, 终止原因: {'捕获': np.False_, '距离': np.float32(3079.5662), '时间': 856.0, '追击星燃料耗尽判断': True, '逃逸星燃料耗尽判断': True, '超时判断': False}
Episode 660, 追击星奖励: 1368.77, 逃逸星奖励: -1319.14, 平均捕获率 (last20): 0.25, 终端距离: 99.87, 终止原因: {'捕获': np.True_, '距离': np.float32(99.86876), '时间': 581.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 680, 追击星奖励: -966.19, 逃逸星奖励: 966.19, 平均捕获率 (last20): 0.05, 终端距离: 1904.85, 终止原因: {'捕获': np.False_, '距离': np.float32(1904.8535), '时间': 960.0, '追击星燃料耗尽判断': True, '逃逸星燃料耗尽判断': True, '超时判断': False}
Episode 700, 追击星奖励: -919.02, 逃逸星奖励: 919.02, 平均捕获率 (last20): 0.30, 终端距离: 2627.07, 终止原因: {'捕获': np.False_, '距离': np.float32(2627.0708), '时间': 816.0, '追击星燃料耗尽判断': True, '逃逸星燃料耗尽判断': True, '超时判断': False}
Episode 720, 追击星奖励: -1184.39, 逃逸星奖励: 1191.98, 平均捕获率 (last20): 0.25, 终端距离: 806.42, 终止原因: {'捕获': np.False_, '距离': np.float32(806.41705), '时间': 719.0, '追击星燃料耗尽判断': True, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 740, 追击星奖励: -729.64, 逃逸星奖励: 729.64, 平均捕获率 (last20): 0.40, 终端距离: 1054.25, 终止原因: {'捕获': np.False_, '距离': np.float32(1054.2532), '时间': 828.0, '追击星燃料耗尽判断': True, '逃逸星燃料耗尽判断': True, '超时判断': False}
Episode 760, 追击星奖励: -777.62, 逃逸星奖励: 777.62, 平均捕获率 (last20): 0.45, 终端距离: 1416.00, 终止原因: {'捕获': np.False_, '距离': np.float32(1415.9954), '时间': 886.0, '追击星燃料耗尽判断': True, '逃逸星燃料耗尽判断': True, '超时判断': False}
Episode 780, 追击星奖励: -689.20, 逃逸星奖励: 689.20, 平均捕获率 (last20): 0.40, 终端距离: 2196.59, 终止原因: {'捕获': np.False_, '距离': np.float32(2196.5913), '时间': 850.0, '追击星燃料耗尽判断': True, '逃逸星燃料耗尽判断': True, '超时判断': False}
Episode 800, 追击星奖励: 1476.34, 逃逸星奖励: -1418.15, 平均捕获率 (last20): 0.45, 终端距离: 97.53, 终止原因: {'捕获': np.True_, '距离': np.float32(97.53479), '时间': 485.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 820, 追击星奖励: 1636.08, 逃逸星奖励: -1515.88, 平均捕获率 (last20): 0.60, 终端距离: 99.20, 终止原因: {'捕获': np.True_, '距离': np.float32(99.20153), '时间': 304.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
